"ID","medians_VoD"
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",-2.07888099675608e-05
"Req testing",0
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-1.38777878078145e-17
"Req testing",-0.000728189523055367
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",0
"Req testing",-0.000188214012211986
"Req testing",0
"Req testing",0
"Req testing",-0.00888525135594054
"Req testing",-5.83591601968636e-05
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",-4.60174411000052e-07
"Req testing",-1.38777878078145e-17
"Req testing",-0.00303254592354274
"Req testing",-3.12762224431802e-10
"Req testing",-8.73833067642304e-06
"Req testing",-0.000728189523055367
"Req testing",-7.62095202701523e-05
"Req testing",-0.000238115334722837
"Req testing",-2.45608914614462e-05
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",-0.0101823050159391
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",-0.00197529013570985
"Req testing",-3.46944695195361e-18
"Req testing",-2.83868472316074e-05
"Req testing",-5.55111512312578e-17
"Req testing",-0.00303254592354274
"Req testing",-0.00116343767338839
"Req testing",-0.00116343767338839
"Req testing",-2.07888099675608e-05
"Req testing",-5.83591601968636e-05
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",-0.000238115334722837
"Req testing",-4.60174411000052e-07
"Req testing",-0.00723137090235682
"Req testing",-0.0224269836083724
"Req testing",0
"Req testing",-0.000496389144000603
"Req testing",-2.77555756156289e-17
"Req testing",-1.38777878078145e-17
"Req testing",-4.60174411000052e-07
"Req testing",-1.07938726714276e-05
"Req testing",-5.83591601968636e-05
"Req testing",-1.11022302462516e-16
"Req testing",-2.77555756156289e-17
"Req testing",-0.000238115334722837
"Req testing",-7.62095202701523e-05
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-1.23533077794933e-07
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-0.00303254592354274
"Req testing",-0.00197529013570985
"Req testing",-0.00127113784226851
"Req testing",-2.77555756156289e-17
"Req testing",-5.55111512312578e-17
"Req testing",-0.00127113784226851
"Req testing",-0.0101823050159391
"Req testing",-8.73833067642304e-06
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",0
"Req testing",-0.000238115334722837
"Req testing",-2.83868472316074e-05
"Req testing",-0.000238115334722837
"Req testing",-5.83591601968636e-05
"Req testing",-0.00893025165042531
"Req testing",-7.62095202701523e-05
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-3.44703809412004e-07
"Req testing",-3.46944695195361e-18
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",-0.00116343767338839
"Req testing",-0.00127113784226851
"Req testing",-5.83591601968636e-05
"Req testing",-0.000496389144000603
"Req testing",-5.55111512312578e-17
"Req testing",1.66533453693773e-16
"Req testing",-0.00303254592354274
"Req testing",-3.46944695195361e-18
"Req testing",-1.07938726714276e-05
"Req testing",-0.000496389144000603
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",-0.0224269836083724
"Req testing",-1.38777878078145e-17
"Req testing",-0.00116343767338839
"Req testing",-5.55111512312578e-17
"Req testing",-0.00116343767338839
"Req testing",-1.38777878078145e-17
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.00311393107648605
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",0
"Req testing",-0.00303254592354274
"Req testing",-2.77555756156289e-17
"Req testing",-0.0029899387979162
"Req testing",-0.00303254592354274
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",0
"Req testing",-0.0128628848407599
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-0.00127113784226851
"Req testing",-0.00715484947519418
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",-0.00893025165042531
"Req testing",-0.002665789126668
"Req testing",-1.11022302462516e-16
"Req testing",-0.00715484947519418
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-1.04781565753963e-05
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",-0.00888525135594054
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",-3.46944695195361e-18
"Req testing",-0.000176919414318982
"Req testing",1.04083408558608e-17
"Req testing",-4.60174411000052e-07
"Req testing",-2.77555756156289e-17
"Req testing",-2.07888099675608e-05
"Req testing",-0.00116343767338839
"Req testing",-4.60174411000052e-07
"Req testing",-5.55111512312578e-17
"Req testing",-0.0332685828624177
"Req testing",-0.00303254592354274
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",-0.00303254592354274
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-2.45608914614462e-05
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-4.47233396150271e-19
"Req testing",-0.000116022683786771
"Req testing",-1.11022302462516e-16
"Req testing",-2.77555756156289e-17
"Req testing",-0.000116022683786771
"Req testing",-5.55111512312578e-17
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",-0.00893025165042531
"Req testing",-2.77555756156289e-17
"Req testing",-2.45608914614462e-05
"Req testing",-0.00723137090235682
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",-1.07938726714276e-05
"Req testing",0
"Req testing",-0.000147364565360408
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-0.0224269836083724
"Req testing",-0.00127113784226851
"Req testing",-0.00303254592354274
"Req testing",-2.07888099675608e-05
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-8.73833067642304e-06
"Req testing",-2.77555756156289e-17
"Req testing",-0.00197529013570985
"Req testing",-3.12762224431802e-10
"Req testing",-0.00893025165042531
"Req testing",-0.00303254592354274
"Req testing",-5.83591601968636e-05
"Req testing",-5.55111512312578e-17
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",-3.44703809412004e-07
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-0.000181034233412182
"Req testing",0
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-0.00127113784226851
"Req testing",-0.00116343767338839
"Req testing",-3.46944695195361e-18
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",0
"Req testing",0
"Req testing",-0.000147364565360408
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",-3.46944695195361e-18
"Req testing",-0.0128628848407599
"Req testing",-6.93889390390723e-18
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",0
"Req testing",-4.47233396150271e-19
"Req testing",0
"Req testing",-0.000181034233412182
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-2.83868472316074e-05
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",-0.00188569887499557
"Req testing",-0.00303254592354274
"Req testing",-7.62095202701523e-05
"Req testing",-0.002665789126668
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-0.000116022683786771
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",-0.00303254592354274
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-3.12762224431802e-10
"Req testing",-0.0101823050159391
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-2.77555756156289e-17
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.00526576488100838
"Req testing",0
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",-9.62893657249694e-06
"Req testing",-0.00197529013570985
"Req testing",-0.000176919414318982
"Req testing",-0.00197529013570985
"Req testing",-0.00127113784226851
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-0.00893025165042531
"Req testing",-5.55111512312578e-17
"Req testing",-5.83591601968636e-05
"Req testing",-4.60174411000052e-07
"Req testing",-1.38777878078145e-17
"Req testing",-0.0050485272621595
"Req testing",-0.00311393107648605
"Req testing",-4.60174411000052e-07
"Req testing",-2.77555756156289e-17
"Req testing",-5.83591601968636e-05
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.00526576488100838
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",-0.00188569887499557
"Req testing",-0.0029899387979162
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",-0.000496389144000603
"Req testing",-0.00197529013570985
"Req testing",-2.77555756156289e-17
"Req testing",-1.38777878078145e-17
"Req testing",-3.44703809412004e-07
"Req testing",0
"Req testing",-0.00303254592354274
"Req testing",-0.000116022683786771
"Req testing",-7.62095202701523e-05
"Req testing",-2.77555756156289e-17
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",-5.83591601968636e-05
"Req testing",-1.38777878078145e-17
"Req testing",-1.11022302462516e-16
"Req testing",-2.77555756156289e-17
"Req testing",-2.77555756156289e-17
"Req testing",-0.00303254592354274
"Req testing",-0.00303254592354274
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",-0.000116022683786771
"Req testing",-3.44703809412004e-07
"Req testing",-0.0029899387979162
"Req testing",0
"Req testing",0
"Req testing",-0.00303254592354274
"Req testing",-0.00197529013570985
"Req testing",-6.93889390390723e-18
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-1.11022302462516e-16
"Req testing",-5.55111512312578e-17
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",0
"Req testing",-0.000147364565360408
"Req testing",-5.83591601968636e-05
"Req testing",-0.000728189523055367
"Req testing",-5.55111512312578e-17
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",0
"Req testing",-0.000496389144000603
"Req testing",-0.00116343767338839
"Req testing",-0.00197529013570985
"Req testing",-0.00893025165042531
"Req testing",-0.000188214012211986
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",-0.00116343767338839
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-0.00127113784226851
"Req testing",-1.11022302462516e-16
"Req testing",-5.83591601968636e-05
"Req testing",-0.0255854668481912
"Req testing",-2.77555756156289e-17
"Req testing",-2.77555756156289e-17
"Req testing",-0.00893025165042531
"Req testing",-0.00893025165042531
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",-0.00888525135594054
"Req testing",-0.00197529013570985
"Req testing",-0.0029899387979162
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",-0.000496389144000603
"Req testing",-0.00188569887499557
"Req testing",-0.0101823050159391
"Req testing",-0.00715484947519418
"Req testing",0
"Req testing",0
"Req testing",-0.00303254592354274
"Req testing",-3.44703809412004e-07
"Req testing",0
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-0.000147364565360408
"Req testing",-0.000116022683786771
"Req testing",-0.00197529013570985
"Req testing",-2.77555756156289e-17
"Req testing",-5.83591601968636e-05
"Req testing",-5.83591601968636e-05
"Req testing",-5.55111512312578e-17
"Req testing",-3.46944695195361e-18
"Req testing",-0.0050485272621595
"Req testing",0
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",-0.000176919414318982
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.00893025165042531
"Req testing",-5.83591601968636e-05
"Req testing",-0.00197529013570985
"Req testing",-0.00197529013570985
"Req testing",-0.000116022683786771
"Req testing",-0.00127113784226851
"Req testing",-5.83591601968636e-05
"Req testing",-0.000238115334722837
"Req testing",-0.00116343767338839
"Req testing",-0.0101823050159391
"Req testing",0
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-0.000238115334722837
"Req testing",-0.000176919414318982
"Req testing",0
"Req testing",-2.83868472316074e-05
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.00888525135594054
"Req testing",-2.77555756156289e-17
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",0
"Req testing",-1.11022302462516e-16
"Req testing",-0.00197529013570985
"Req testing",-0.00715484947519418
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000496389144000603
"Req testing",0
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",-1.38777878078145e-17
"Req testing",-5.55111512312578e-17
"Req testing",-1.11022302462516e-16
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-1.07938726714276e-05
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",-0.00197529013570985
"Req testing",-0.00715484947519418
"Req testing",-9.74817740859776e-07
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",-1.23533077794933e-07
"Req testing",0
"Req testing",0
"Req testing",-0.00723137090235682
"Req testing",-0.000116022683786771
"Req testing",-2.77555756156289e-17
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",-0.000728189523055367
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-4.47233396150271e-19
"Req testing",-3.46944695195361e-18
"Req testing",-0.0224269836083724
"Req testing",-2.77555756156289e-17
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-0.0332685828624177
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",-5.83591601968636e-05
"Req testing",-5.83591601968636e-05
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",-0.00197529013570985
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",0
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-2.45608914614462e-05
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",2.16840434497101e-19
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-0.00723137090235682
"Req testing",-2.83868472316074e-05
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-2.77555756156289e-17
"Req testing",-0.00188569887499557
"Req testing",-2.77555756156289e-17
"Req testing",-0.000496389144000603
"Req testing",-8.73833067642304e-06
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000181034233412182
"Req testing",-1.38777878078145e-17
"Req testing",-2.77555756156289e-17
"Req testing",-1.23533077794933e-07
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-0.000116022683786771
"Req testing",-2.77555756156289e-17
"Req testing",-2.77555756156289e-17
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-5.83591601968636e-05
"Req testing",-2.77555756156289e-17
"Req testing",-0.00188569887499557
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-1.07938726714276e-05
"Req testing",-0.000496389144000603
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",-2.07888099675608e-05
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-0.00888525135594054
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-0.00197529013570985
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",-9.62893657249694e-06
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",-0.00715484947519418
"Req testing",-0.00188569887499557
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-0.00116343767338839
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-3.46944695195361e-18
"Req testing",-9.62893657249694e-06
"Req testing",-5.55111512312578e-17
"Req testing",-0.00116343767338839
"Req testing",-2.77555756156289e-17
"Req testing",-6.93889390390723e-18
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-0.00116343767338839
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-0.00723137090235682
"Req testing",-0.000238115334722837
"Req testing",-0.000116022683786771
"Req testing",-1.04781565753963e-05
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",-0.0029899387979162
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.000728189523055367
"Req testing",-5.83591601968636e-05
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000147364565360408
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",0
"Req testing",-2.07888099675608e-05
"Req testing",-0.00116343767338839
"Req testing",-5.55111512312578e-17
"Req testing",-6.93889390390723e-18
"Req testing",0
"Req testing",0
"Req testing",-1.04781565753963e-05
"Req testing",-2.77555756156289e-17
"Req testing",-5.55111512312578e-17
"Req testing",-1.38777878078145e-17
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-0.00197529013570985
"Req testing",-4.60174411000052e-07
"Req testing",-3.44703809412004e-07
"Req testing",-1.11022302462516e-16
"Req testing",-0.000188214012211986
"Req testing",-0.000238115334722837
"Req testing",-2.83868472316074e-05
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",-5.83591601968636e-05
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",-0.00723137090235682
"Req testing",-0.00197529013570985
"Req testing",-9.74817740859776e-07
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",-0.000116022683786771
"Req testing",-0.000238115334722837
"Req testing",-0.00116343767338839
"Req testing",-0.000116022683786771
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",-0.000181034233412182
"Req testing",-9.74817740859776e-07
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000238115334722837
"Req testing",0
"Req testing",-0.000181034233412182
"Req testing",-2.77555756156289e-17
"Req testing",-0.000496389144000603
"Req testing",-0.0195667279922173
"Req testing",-0.00723137090235682
"Req testing",-0.000238115334722837
"Req testing",-8.73833067642304e-06
"Req testing",0
"Req testing",0
"Req testing",-8.73833067642304e-06
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",-0.0029899387979162
"Req testing",0
"Req testing",-0.000176919414318982
"Req testing",-2.77555756156289e-17
"Req testing",-0.0029899387979162
"Req testing",-0.000238115334722837
"Req testing",-0.00197529013570985
"Req testing",-0.000116022683786771
"Req testing",-1.11022302462516e-16
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.00127113784226851
"Req testing",0
"Req testing",-0.000496389144000603
"Req testing",-0.000116022683786771
"Req testing",-3.46944695195361e-18
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",-0.000176919414318982
"Req testing",-0.000496389144000603
"Req testing",-0.00188569887499557
"Req testing",-5.55111512312578e-17
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-0.000116022683786771
"Req testing",-0.002665789126668
"Req testing",-0.00303254592354274
"Req testing",-0.00127113784226851
"Req testing",-0.00303254592354274
"Req testing",-5.55111512312578e-17
"Req testing",-1.23533077794933e-07
"Req testing",-0.000176919414318982
"Req testing",-2.77555756156289e-17
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-0.0101823050159391
"Req testing",-0.002665789126668
"Req testing",0
"Req testing",0
"Req testing",-0.00197529013570985
"Req testing",0
"Req testing",0
"Req testing",0
"Req testing",-5.83591601968636e-05
"Req testing",-1.38777878078145e-17
"Req testing",0
"Req testing",-0.0050485272621595
"Req testing",0
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-2.77555756156289e-17
"Req testing",-9.74817740859776e-07
"Req testing",-5.55111512312578e-17
"Req testing",0
"Req testing",-3.46944695195361e-18
"Req testing",0
"Req testing",0
"Req testing",-0.00116343767338839
